epoch,f0_scaled_loss,ld_scaled_loss,loss,val_f0_scaled_loss,val_ld_scaled_loss,val_loss
0,0.001679911627434194,0.00212064478546381,0.0038005562964826822,0.0012815032387152314,0.001863939338363707,0.0031454432755708694
1,0.0016897902823984623,0.0021253337617963552,0.003815125208348036,0.0008708347450010478,0.0020680027082562447,0.0029388372786343098
2,0.0016498586628586054,0.002100149402394891,0.0037500071339309216,0.0010048128897324204,0.0018057049019262195,0.00281051779165864
3,0.0016206526197493076,0.0020934799686074257,0.0037141304928809404,0.0010264661395922303,0.002561383880674839,0.003587850136682391
4,0.0016517691547051072,0.0020657964050769806,0.0037175656761974096,0.0011277858866378665,0.002014864468947053,0.003142650704830885
5,0.0015781359979882836,0.002036343328654766,0.0036144780460745096,0.000946918735280633,0.0019288611365482211,0.002875779988244176
6,0.0015743596013635397,0.002015141537413001,0.0035895013716071844,0.0010930025018751621,0.001792221562936902,0.002885224064812064
7,0.001171028590761125,0.0017357307951897383,0.002906759735196829,0.0005714776925742626,0.0015132195549085736,0.002084697363898158
8,0.0010847151279449463,0.0016399831511080265,0.002724698279052973,0.0005576200783252716,0.0014685621717944741,0.002026182133704424
9,0.0010508436243981123,0.001622392563149333,0.0026732340920716524,0.0005795404431410134,0.0014752212446182966,0.0020547613967210054
10,0.0010387361980974674,0.001603567972779274,0.002642302541062236,0.0005825029802508652,0.0014957358362153172,0.0020782381761819124
11,0.0010157054057344794,0.0015792159829288721,0.002594922436401248,0.0006633307784795761,0.0014602357987314463,0.002123566810041666
12,0.000978059251792729,0.0015556863509118557,0.002533744554966688,0.0005671927938237786,0.0014560321578755975,0.0020232251845300198
13,0.0009799167746677995,0.0015448953490704298,0.0025248127058148384,0.0005670810933224857,0.0014507658779621124,0.0020178472623229027
14,0.000957139884121716,0.001542859012261033,0.00250000087544322,0.0005588999483734369,0.0014439215883612633,0.0020028220023959875
15,0.0009674475295469165,0.0015381680568680167,0.0025056172162294388,0.0005659647868014872,0.001445078058168292,0.0020110427867621183
16,0.0009603215730749071,0.0015331200556829572,0.0024934434331953526,0.0005636021960526705,0.001442749984562397,0.002006351947784424
17,0.000971385685261339,0.0015359139069914818,0.0025072996504604816,0.000563852780032903,0.0014444434782490134,0.00200829585082829
18,0.0009557135635986924,0.0015333261108025908,0.0024890375789254904,0.0005626662750728428,0.0014448151923716068,0.002007481176406145
19,0.0009472796809859574,0.0015308577567338943,0.0024781380780041218,0.0005614514229819179,0.0014428783906623721,0.0020043293479830027
20,0.0009780657710507512,0.0015414692461490631,0.0025195362977683544,0.0005618970608338714,0.0014426680281758308,0.0020045654382556677
21,0.0009673270396888256,0.0015415515517815948,0.002508877543732524,0.0005618561408482492,0.0014432236785069108,0.002005079761147499
22,0.0009566391236148775,0.0015302792889997363,0.0024869174230843782,0.0005617875140160322,0.0014422709355130792,0.0020040583331137896
